host_neighbourhood,accommodates,bathrooms,bedrooms,price,review_scores_rating,square_feet,number_of_reviews,reviews_per_month
Indische Buurt,4,1,2,750,,592,0,0
Grachtengordel,2,1,1,100,80,700,61,5.083333333
Grachtengordel,4,1,2,200,94,484,30,2.5
Bos en Lommer,2,1,1,150,93,721,3,0.25
Grachtengordel,6,2,3,420,98,1507,318,26.5
Jordaan,2,1.5,1,78,93,22600,74,6.166666667
Grachtengordel,2,1,1,86,92,431,108,9
Oud-West,4,1,300,250,100,1184,3,0.25
Jordaan,3,1,1,159,100,0,52,4.333333333
De Pijp,4,1.5,2,149,97,861,88,7.333333333
Grachtengordel,2,1.5,1,145,98,592,92,7.666666667
Grachtengordel,4,1,1,179,85,0,83,6.916666667
Oud-West,3,1,1,70,93,269,110,9.166666667
Oud-West,3,1,1,105,94,646,163,13.58333333
Grachtengordel,2,1,1,70,94,161,226,18.83333333
Bos en Lommer,4,1,2,135,98,377,26,2.166666667
De Pijp,2,1,1,93,95,0,206,17.16666667
De Pijp,2,1,1,100,94,1130,64,5.333333333
Bos en Lommer,4,1,2,189,97,32,28,2.333333333
Grachtengordel,3,1,1,150,95,538,27,2.25
Oud-West,4,1,1,100,100,646,3,0.25
Grachtengordel,2,1,1,87,93,269,470,39.16666667
Oud-West,3,1,2,98,95,0,81,6.75
Bos en Lommer,4,1,1,100,89,431,52,4.333333333
Oud-West,2,1,2,80,88,0,136,11.33333333
Grachtengordel,16,4,10,695,95,234,24,2
Jordaan,4,1,2,74,97,969,37,3.083333333
Jordaan,3,1,2,120,95,861,102,8.5
Indische Buurt,3,1,1,99,96,700,42,3.5
Indische Buurt,3,1,1,80,92,753,58,4.833333333
Jordaan,4,1.5,3,284,97,1292,25,2.083333333
Oud-West,2,1,1,99,90,0,15,1.25
De Pijp,2,1,1,99,90,484,2,0.166666667
Oud-West,2,1,1,129,99,646,32,2.666666667
Oud-West,2,1,1,109,97,377,147,12.25
De Pijp,4,1,2,95,97,969,13,1.083333333
Grachtengordel,2,1.5,1,175,100,1399,2,0.166666667
Oud-West,4,1,1,80,96,0,102,8.5
Oud-West,2,1,1,80,98,0,17,1.416666667
Bos en Lommer,4,1,2,120,94,915,37,3.083333333
Indische Buurt,2,1,1,145,98,592,62,5.166666667
De Pijp,2,1,1,118,97,108,81,6.75
De Pijp,4,1,2,150,97,15414,60,5
Indische Buurt,5,2,4,168,93,1722,6,0.5
Oud-West,4,1,2,295,95,0,40,3.333333333
Bos en Lommer,4,2,2,225,96,0,38,3.166666667
Bos en Lommer,2,1,1,73,93,0,13,1.083333333
Oud-West,2,1,0,96,96,0,99,8.25
Oud-West,2,1,1,70,98,0,158,13.16666667
Grachtengordel,2,1,1,125,98,0,36,3
Jordaan,2,1,1,115,97,258,16,1.333333333
Oud-West,3,1,1,30,96,431,363,30.25
Oud-West,2,1,0,90,94,0,170,14.16666667
Oud-West,2,1,1,95,93,700,8,0.666666667
De Pijp,2,1,1,105,95,700,23,1.916666667
Rivierenbuurt,1,1,0,900,95,269,166,13.83333333
Grachtengordel,4,1,1,125,96,431,83,6.916666667
Oud-West,5,1,2,126,97,646,14,1.166666667
Oud-West,2,1,1,94,93,280,52,4.333333333
Grachtengordel,16,2,10,464,97,0,83,6.916666667
Oud-West,2,1,1,85,94,0,25,2.083333333
Oud-West,2,1.5,1,135,89,323,61,5.083333333
Oud-West,2,1,0,200,94,484,71,5.916666667
Oud-West,2,1,1,115,100,258,9,0.75
Grachtengordel,2,1,1,124,92,0,46,3.833333333
Oud-West,2,1,1,20000,98,700,9,0.75
Oud-West,4,1,1,169,94,646,199,16.58333333
Oud-West,4,1.5,1,225,99,646,465,38.75
Jordaan,4,1.5,2,280,100,0,20,1.666666667
Oud-West,2,1,1,95,91,248,217,18.08333333
Jordaan,2,1,1,96,98,0,279,23.25
De Pijp,4,1,3,395,100,807,2,0.166666667
Oud-West,2,1.5,2,249,96,0,89,7.416666667
Grachtengordel,2,1,1,170,100,915,4,0.333333333
Oud-West,2,1.5,1,265,98,0,88,7.333333333
Rivierenbuurt,2,1,1,199,88,0,40,3.333333333
Indische Buurt,4,1,2,300,96,700,49,4.083333333
Jordaan,2,1,1,130,97,538,108,9
Oud-West,4,1,2,185,96,915,18,1.5
Grachtengordel,6,2.5,3,275,97,0,123,10.25
Jordaan,4,1,0,140,96,65,92,7.666666667
De Pijp,2,1,1,28,100,1076,1,0.083333333
Oud-West,2,1,1,82,92,0,165,13.75
De Pijp,2,1,1,99,97,323,117,9.75
Indische Buurt,4,1,3,150,89,110,26,2.166666667
Oosterparkbuurt,4,1,2,250,99,0,100,8.333333333
Indische Buurt,2,1,1,85,93,0,70,5.833333333
Oud-West,4,1.5,3,240,98,861,44,3.666666667
Bos en Lommer,4,1.5,1,170,97,0,60,5
Bos en Lommer,2,1,2,170,99,0,25,2.083333333
Oud-West,4,1,3,235,90,1722,2,0.166666667
Bos en Lommer,2,1,1,160,97,969,148,12.33333333
Jordaan,2,1,1,150,97,108,13,1.083333333
Grachtengordel,2,1,0,72,98,753,38,3.166666667
Oud-West,5,1,2,79,88,0,96,8
Jordaan,2,1,1,90,98,592,14,1.166666667
Oosterparkbuurt,4,1,2,400,100,1615,11,0.916666667
De Pijp,3,1,2,14000,99,592,23,1.916666667
Jordaan,5,1,3,114,96,1227,9,0.75
Jordaan,4,1,3,299,94,0,53,4.416666667
Jordaan,3,1,2,135,99,592,89,7.416666667
Oud-West,5,1,2,400,94,753,53,4.416666667
Grachtengordel,7,3.5,5,600,97,1938,106,8.833333333
Grachtengordel,4,1,1,130,,700,0,0
Grachtengordel,4,2,2,260,98,1100,13,1.083333333
Oud-West,4,1.5,3,180,99,0,21,1.75
Jordaan,4,1,1,150,86,377,7,0.583333333
Oud-West,4,1,1,145,90,0,9,0.75
Grachtengordel,2,1,1,80,96,0,72,6
Indische Buurt,2,1,1,70,85,0,275,22.91666667
Oud-West,4,1,1,295,93,646,103,8.583333333
Rivierenbuurt,4,1,1,200,98,1615,47,3.916666667
Oosterparkbuurt,6,2,3,230,91,969,32,2.666666667
De Pijp,2,1,1,110,95,807,23,1.916666667
De Pijp,4,2,3,299,91,1615,46,3.833333333
Oud-West,4,1,2,750,97,1615,32,2.666666667
Oosterparkbuurt,2,1,1,125,98,753,10,0.833333333
De Pijp,4,1,2,150,98,753,10,0.833333333
Jordaan,2,1,1,129,99,344,340,28.33333333
Oosterparkbuurt,4,1,3,250,91,0,71,5.916666667
Oost,3,1,2,140,86,538,11,0.916666667
Grachtengordel,2,1,1,89,96,1076,9,0.75
Oud-West,2,1,1,120,96,344,59,4.916666667
Oud-West,2,1,1,100,96,969,10,0.833333333
Jordaan,4,1.5,3,150,97,0,17,1.416666667
Grachtengordel,2,1,1,139,100,646,8,0.666666667
Grachtengordel,4,2,3,230,80,969,1,0.083333333
Oud-West,2,1,2,150,100,915,4,0.333333333
Grachtengordel,6,1,3,300,87,969,94,7.833333333
De Pijp,4,1,2,250,87,1023,37,3.083333333
Jordaan,2,1,1,150,100,0,8,0.666666667
Jordaan,4,1,1,90,89,0,210,17.5
Jordaan,2,1,1,150,91,700,14,1.166666667
Jordaan,4,1,1,65,84,0,202,16.83333333
Jordaan,4,2,3,120,100,1076,13,1.083333333
Grachtengordel,6,1,3,213,97,1615,23,1.916666667
Indische Buurt,2,1,1,150,,753,0,0
Oud-West,2,1,1,125,99,484,36,3
Grachtengordel,4,1,2,225,97,969,39,3.25
Oud-West,2,1,1,130,98,0,39,3.25
Grachtengordel,4,1.5,2,336,95,129,5,0.416666667
Oud-West,2,1,1,115,96,0,101,8.416666667
Grachtengordel,4,1.5,2,269,100,1076,13,1.083333333
Grachtengordel,2,1,1,105,100,807,22,1.833333333
Grachtengordel,2,1,1,99,93,0,38,3.166666667
Bos en Lommer,2,1,1,90,94,592,46,3.833333333
Indische Buurt,2,1,1,139,91,538,107,8.916666667
De Pijp,2,1,1,90,95,592,4,0.333333333
Oud-West,2,1,1,90,89,646,27,2.25
